queue_id,priority,track,dynasty_or_topic,target_claim_scope,candidate_source_id,source_url,publisher,source_type,expected_grade,status,last_updated,owner,notes
SRCQ-001,P0,Chronicles,Lunar+Hilaaly+Utheemu,Core dynastic chains and sovereign succession basis,SRC-TUFS-TARIKH-DIBA-MAHALL-FACSIMILE,https://tufs.repo.nii.ac.jp/records/7457,TUFS ILCAA,chronicle facsimile,A,in_progress,2026-02-08,phase1-batch-a,Extract named kinship and accession statements with locators; see EXT-001.
SRCQ-002,P0,Chronicles,Lunar+Hilaaly+Utheemu,Chronicle annotations and author-context checks,SRC-TUFS-TARIKH-DIBA-MAHALL-ANNOT,https://tufs.repo.nii.ac.jp/records/7433,TUFS ILCAA,annotated scholarly edition,B,in_progress,2026-02-08,phase1-batch-a,Use for variant-name normalization and conflict notes; see EXT-002.
SRCQ-003,P0,Inscriptions,Early Islamization period,Early rulers and inscription-based identity anchors,SRC-SARUNA-LOAMAAFANU-1982,https://saruna.mnu.edu.mv/items/3c1c8b78-4aea-480e-95fd-484f3134a881,NCLHR / MNU,inscription edition,A,in_progress,2026-02-08,phase1-batch-a,Map inscription names to existing node IDs; see EXT-003.
SRCQ-004,P1,Inscriptions,Early Islamization period,Secondary context and interpretation cross-check,SRC-SARUNA-LOAMAAFANU-2003,https://saruna.mnu.edu.mv/items/4826d37f-f293-4576-b4df-a5220d9e2f3f,NCLHR / MNU,scholarly article,B,in_progress,2026-02-08,phase1-batch-sweep,Use only with primary inscription backing; see EXT-004. Batch sweep moved this queue row to active.
SRCQ-005,P0,Manuscript tradition,Raadhavalhi corpus,Ruler-order and lineage framing,SRC-SARUNA-RAADHAVALHI-1985,https://saruna.mnu.edu.mv/items/41a49f76-3727-45ef-8156-7a3119262adf,NCLHR / MNU,scholarly article,B,in_progress,2026-02-08,phase1-batch-a,Cross-map against existing Raadhavalhi claims; see EXT-005.
SRCQ-006,P1,Travel narratives,Hilaaly+Huraagey transitions,Office-title semantics and court-role descriptions,SRC-SARUNA-PYRARD-V2P2-1887,https://saruna.mnu.edu.mv/items/47e32876-8c1b-4f3d-91e8-75c6779d7eca,Hakluyt Society / MNU,primary narrative edition,A,in_progress,2026-02-08,phase1-batch-b,Extract office and protocol terminology with chapter/page locators; see EXT-006.
SRCQ-007,P1,Travel narratives,Early-modern state structure,Institution and governance terminology,SRC-CORNELL-PYRARD-V1-1887,https://digital.library.cornell.edu/catalog/sea103a,Cornell University Library,primary narrative edition,A,in_progress,2026-02-08,phase1-batch-b,Pair with volume II claims before promoting; see EXT-007.
SRCQ-008,P1,Antiquarian history,Pre-20th c dynastic context,Toponym and chronology corroboration,SRC-HEIDELBERG-BELL-1883,https://digi.ub.uni-heidelberg.de/diglit/bell1883,Heidelberg University Library,digital facsimile,B,in_progress,2026-02-08,phase1-batch-b,Treat as corroborative; not sole genealogical authority; see EXT-008.
SRCQ-009,P1,Scholarship,Tarikh textual politics,Factional context and authorship interpretation,SRC-STANDREWS-PEACOCK-2020,https://research-portal.st-andrews.ac.uk/en/publications/history-piety-and-factional-politics-in-the-arabic-chronicle-of-t/,University of St Andrews,peer-reviewed article,B,in_progress,2026-02-08,phase1-batch-b,Use for interpretation layer and contradiction adjudication notes; see EXT-009.
SRCQ-010,P2,Archival governance,Methodology standards,Archive provenance and records handling policy,SRC-ARCHIVES-LAW-16-2011,https://archives.gov.mv/assets/source/docs/archives_law.pdf,National Archives of Maldives,official law,A,in_progress,2026-02-08,phase1-batch-c,Methodology extraction in progress; archive provenance controls; see EXT-010.
SRCQ-011,P2,Archival governance,Methodology standards,Records lifecycle and disposal framework,SRC-ARCHIVES-RECORDS-DISPOSAL,https://archives.gov.mv/assets/source/docs/disposal_of_records.pdf,National Archives of Maldives,official regulation,A,in_progress,2026-02-08,phase1-batch-c,Methodology extraction in progress; records lifecycle rules; see EXT-011.
SRCQ-012,P2,Chronicle reception,Contemporary state framing,Chronicle significance statement for explanatory UI,SRC-PO-TARIKH-LAUNCH-2021,https://presidency.gov.mv/Press/Article/24486,President's Office Maldives,official statement,A,in_progress,2026-02-08,phase1-batch-c,Context extraction in progress; state chronicle framing for explainer; see EXT-012.
SRCQ-013,P0,Corroboration,Lunar dynasty nodes P1-P29,Reduce dependence on single-source MRF/Wiki chains,(new-primary-lunar),,Priority target: archive manuscripts + inscriptional studies,multi-source expansion,A/B,in_progress,2026-02-08,phase1-batch-d,Discovery sprint started for primary Lunar corroboration set; see EXT-013.
SRCQ-014,P0,Corroboration,Hilaaly nodes P30-P40 and bridge edges,Validate high-impact inferred and confirmed bridge links,(new-primary-hilaaly),,Priority target: chronicles + independent scholarly corroboration,multi-source expansion,A/B,in_progress,2026-02-08,phase1-batch-d,Discovery sprint started for Hilaaly bridge corroboration sources; see EXT-014.
SRCQ-015,P1,Corroboration,Dhiyamigili and southern branches,Resolve contested continuity and cousin/kin labels,(new-primary-dhiyamigili-south),,Priority target: branch records and local-history publications,multi-source expansion,A/B,in_progress,2026-02-08,phase1-batch-d,Discovery sprint started for Dhiyamigili and southern-branch corroboration sources; see EXT-015.
SRCQ-016,P1,Official profiles,Modern political lineage anchors,Parent and sibling claims from official presidential profiles,SRC-PO-AMIN|SRC-PO-NASIR|SRC-PO-YAMEEN,,President's Office Maldives,official profile,A,in_progress,2026-02-08,phase1-locator-a,Locator extraction batch A completed for selected parent/sibling statements (EXT-016..018).
SRCQ-017,P1,Modern family corroboration,Modern nodes P115-P173 cluster,"Spouse, parent, and cousin statements with explicit lead/personal-life locators",SRC-WIKI-WAHEED|SRC-WIKI-SOLIH|SRC-WIKI-MUIZZU|SRC-WIKI-NASHEED|SRC-WIKI-MAUMOON,,Wikipedia,secondary synthesis,B,in_progress,2026-02-08,phase1-locator-b,Batch B expanded to raw infobox extraction for spouse/issue/parent fields (EXT-022..025).
SRCQ-018,P1,News corroboration,Modern family parentage claims,Named parent statements in contemporary reports,SRC-ATOLL-NASHEED-PARENTS|SRC-EDITION-SOLIH-MOTHER,,Atoll Times / The Edition,news report,B,in_progress,2026-02-08,phase1-locator-a,Locator extraction batch A completed for explicit named-parent statements (EXT-019..020).
SRCQ-019,P1,Modern family corroboration,Ibrahim Nasir lineage cluster,Spouse and issue template mapping for P115 branch claims,SRC-WIKI-IBRAHIM-NASIR,,Wikipedia,secondary synthesis,B,in_progress,2026-02-08,phase1-locator-b,Raw infobox extraction completed for spouse/issue subgroup claims; see EXT-026.
SRCQ-020,P1,MRF table extraction,Sovereign table entries P1-P95,Entry-number locator capture for parent/sibling/spouse/kin rows,SRC-MRF-KINGS,https://r.jina.ai/http://maldivesroyalfamily.com/maldives_kings_list.full.shtml,Maldives Royal Family (via r.jina mirror),specialist genealogy compendium,B,in_progress,2026-02-08,phase1-locator-c,Batch C captured table-entry locators for claims with endpoints in P1..P95; quote-level extraction remains pending.
