claim_id,edge_key,relation_type,source_id,target_id,label,confidence,claim_type,confidence_grade,evidence_refs,primary_source_id,claim_excerpt,citation_locator,access_date,review_status,canonical_decision,reviewer,last_reviewed,notes
CLM-0001,kin|P1|P2|uncle/nephew,kin,P1,P2,uncle/nephew,c,direct,B,SRC-MRF-KINGS,SRC-MRF-KINGS,Kings list marks P2 as nephew of Koimala P1 via Koimala's sister.,"SRC-MRF-KINGS early sequence entries #1-#3 relationship notes. URL anchor: https://r.jina.ai/http://maldivesroyalfamily.com/maldives_kings_list.full.shtml. Node pair: P1 Koimala <-> P2 Dhovemi (kin (uncle/nephew)), 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Phase 1 extraction pending direct quote capture. Locator URL-normalized in Phase 1 batch E for explicit source anchorability. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0002,kin|P100|P83|grandparent,kin,P100,P83,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P100 Mohamed Faamuladeyri Thakurufan and P83 Mohamed Muizzuddine (Keerithi Maha Radun) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p100-p83-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p100-p83-grandparent.md.
CLM-0003,kin|P100|P84|grandparent,kin,P100,P84,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P100 Mohamed Faamuladeyri Thakurufan and P84 Hassan Nooredine (Keerithi Maha Radun) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p100-p84-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p100-p84-grandparent.md.
CLM-0004,kin|P100|P98|grandparent,kin,P100,P98,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P100 Mohamed Faamuladeyri Thakurufan and P98 Dom Maraduru Fandiaiy Thakurufan from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p100-p98-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p100-p98-grandparent.md.
CLM-0005,kin|P101|P97|grandparent,kin,P101,P97,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P101 Donna Francisca Vasconcellos and P97 Dom Luis de Sousa from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p101-p97-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p101-p97-grandparent.md.
CLM-0006,kin|P102|P104|grandparent,kin,P102,P104,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P102 Kalhu Ali Thakurufan of Utheemu and P104 Mohamed Thakurufaanu al-Auzam from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p102-p104-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p102-p104-grandparent.md.
CLM-0007,kin|P103|P106|grandparent,kin,P103,P106,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P103 Hussain Thakurufan and P106 Ibrahim Kalaafaan from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p103-p106-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p103-p106-grandparent.md.
CLM-0008,kin|P104|P61|regnal contest context,kin,P104,P61,regnal contest context,c,direct,B,SRC-MRF-UTHEEM|SRC-WIKI-MONARCHS,SRC-MRF-UTHEEM,Utheem Dynasty dynastic context links P104 Mohamed Thakurufaanu al-Auzam and P61 Hassan IX / Dom Manoel in kin relation (regnal contest context).,"SRC-MRF-UTHEEM r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_utheem.shtml), dynasty/lineage entry context for P104 Mohamed Thakurufaanu al-Auzam and P61 Hassan IX / Dom Manoel (kin (regnal contest context)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0009,kin|P104|P66|co-regency framework,kin,P104,P66,co-regency framework,c,direct,B,SRC-MRF-UTHEEM|SRC-WIKI-MONARCHS,SRC-MRF-UTHEEM,Utheem Dynasty dynastic context links P104 Mohamed Thakurufaanu al-Auzam and P66 Joao’ in kin relation (co-regency framework).,"SRC-MRF-UTHEEM r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_utheem.shtml), dynasty/lineage entry context for P104 Mohamed Thakurufaanu al-Auzam and P66 Joao’ (kin (co-regency framework)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0010,kin|P104|P68|reported shared Utheemu lineage branch,kin,P104,P68,reported shared Utheemu lineage branch,i,inferred,B,SRC-MRF-UTHEEM|SRC-WIKI-MONARCHS,SRC-MRF-UTHEEM,Utheem Dynasty dynastic context links P104 Mohamed Thakurufaanu al-Auzam and P68 Mohamed Imaduddine in kin relation (reported shared Utheemu lineage branch).,"SRC-MRF-UTHEEM r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_utheem.shtml), dynasty/lineage entry context for P104 Mohamed Thakurufaanu al-Auzam and P68 Mohamed Imaduddine (kin (reported shared Utheemu lineage branch)) in 2026-02-08 snapshot.",2026-02-08,in_progress,pending,phase1-locator-d,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete.
