claim_id,edge_key,relation_type,source_id,target_id,label,confidence,claim_type,confidence_grade,evidence_refs,primary_source_id,claim_excerpt,citation_locator,access_date,review_status,canonical_decision,reviewer,last_reviewed,notes
CLM-0474,kin|P222|P129|aunt/uncle↔niece/nephew,kin,P222,P129,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin (aunt/uncle↔niece/nephew) relation modeled between Hassan Izz ud-din and Princess Veyogey Dhon Goma.,Inference dossier verified in manual batch N (2026-02-19): Inference basis documented in docs/research-program/inferences/kin-p129-p222-aunt-uncle-niece-nephew.md.,2026-02-08,approved,deferred,manual-verification-batch-n,2026-02-19,Manual verification batch N (2026-02-19): deferred. Inference dossier lacks resolved support-chain claims for this aunt/uncle derivation; hold until edge-basis reconciliation closes dependencies.
CLM-0055,kin|P86|P129|grandparent,kin,P86,P129,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P129 Princess Veyogey Dhon Goma and P86 Mohamed Imaduddine (Kula Sudha Ira Siyaaaka) from modeled rule chain parent-of-parent-grandparent.,Inference dossier verified in manual batch J (2026-02-19): Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p129-p86-grandparent.md).,2026-02-08,approved,approved,manual-verification-batch-j,2026-02-19,Manual verification batch J (2026-02-19): pair-specific dossier chain manually checked against approved support claims; inferred relation canonically accepted for current model.
CLM-0056,kin|P129|P88|cousins,kin,P129,P88,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P129 Princess Veyogey Dhon Goma and P88 Mohamed Mueenuddine (Keerithi Maha Radun) from modeled rule chain children-of-siblings-cousin.,Inference dossier verified in manual batch J (2026-02-19): Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p129-p88-cousins.md).,2026-02-08,approved,approved,manual-verification-batch-j,2026-02-19,Manual verification batch J (2026-02-19): pair-specific dossier chain manually checked against approved support claims; inferred relation canonically accepted for current model.
CLM-0057,kin|P129|P92|cousins,kin,P129,P92,cousins,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (cousins) between P129 Princess Veyogey Dhon Goma and P92 Mohamed Imaduddine VI (Keerithi Maha Radun) from modeled rule chain children-of-siblings-cousin.,Inference dossier verified in manual batch J (2026-02-19): Inference basis: children-of-siblings-cousin (see docs/research-program/inferences/kin-p129-p92-cousins.md).,2026-02-08,approved,approved,manual-verification-batch-j,2026-02-19,Manual verification batch J (2026-02-19): pair-specific dossier chain manually checked against approved support claims; inferred relation canonically accepted for current model.
CLM-0122,kin|P87|P190|grandparent,kin,P87,P190,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P190 Hassan Fareed Didi and P87 Ibrahim Nooredine (Keerithi Maha Radun) from modeled rule chain parent-of-parent-grandparent.,Inference dossier verified in manual batch K (2026-02-19): Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p190-p87-grandparent.md).,2026-02-08,approved,approved,manual-verification-batch-k,2026-02-19,Manual verification batch K (2026-02-19): pair-specific dossier chain manually checked against approved support claims; inferred relation canonically accepted for current model.
CLM-0123,kin|P90|P190|aunt/uncle↔niece/nephew,kin,P90,P190,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P190 Hassan Fareed Didi and P90 Mohamed Imaduddine V (Keerithi Maha Radun) from modeled rule chain parent-sibling-aunt-uncle.,Inference dossier verified in manual batch K (2026-02-19): Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p190-p90-aunt-uncle-niece-nephew.md).,2026-02-08,approved,approved,manual-verification-batch-k,2026-02-19,Manual verification batch K (2026-02-19): pair-specific dossier chain manually checked against approved support claims; inferred relation canonically accepted for current model.
CLM-0125,kin|P87|P191|grandparent,kin,P87,P191,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P191 Ibrahim Fareed Didi and P87 Ibrahim Nooredine (Keerithi Maha Radun) from modeled rule chain parent-of-parent-grandparent.,Inference dossier verified in manual batch K (2026-02-19): Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p191-p87-grandparent.md).,2026-02-08,approved,approved,manual-verification-batch-k,2026-02-19,Manual verification batch K (2026-02-19): pair-specific dossier chain manually checked against approved support claims; inferred relation canonically accepted for current model.
CLM-0126,kin|P90|P191|aunt/uncle↔niece/nephew,kin,P90,P191,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P191 Ibrahim Fareed Didi and P90 Mohamed Imaduddine V (Keerithi Maha Radun) from modeled rule chain parent-sibling-aunt-uncle.,Inference dossier verified in manual batch K (2026-02-19): Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p191-p90-aunt-uncle-niece-nephew.md).,2026-02-08,approved,approved,manual-verification-batch-k,2026-02-19,Manual verification batch K (2026-02-19): pair-specific dossier chain manually checked against approved support claims; inferred relation canonically accepted for current model.
CLM-0506,kin|P50|P208|aunt/uncle↔niece/nephew,kin,P50,P208,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin (aunt/uncle↔niece/nephew) relation modeled between Ibrahim and Princess Aysha Rani Kilege.,Inference dossier + contradiction note in docs/research-program/inferences/kin-p208-p50-aunt-uncle-niece-nephew.md; manual batch-H adjudication.,2026-02-08,approved,deferred,manual-verification-batch-h,2026-02-19,"Manual verification batch H (2026-02-19): deferred. Current aunt/uncle inference depends on sibling premise P50<->P51 from CLM-0439, which conflicts with canonical parentage chain P47->P50 (CLM-0601) plus P47<->P51 half-brothers (CLM-0639). Pair is more consistent with cousin-line relation; model correction required before canonical approval."
CLM-0542,kin|P50|P219|aunt/uncle↔niece/nephew,kin,P50,P219,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin (aunt/uncle↔niece/nephew) relation modeled between Ibrahim and Umar Ma'afai Kilege.,Inference dossier + contradiction note in docs/research-program/inferences/kin-p219-p50-aunt-uncle-niece-nephew.md; manual batch-H adjudication.,2026-02-08,approved,deferred,manual-verification-batch-h,2026-02-19,"Manual verification batch H (2026-02-19): deferred. Current aunt/uncle inference depends on sibling premise P50<->P51 from CLM-0439, which conflicts with canonical parentage chain P47->P50 (CLM-0601) plus P47<->P51 half-brothers (CLM-0639). Pair is more consistent with cousin-line relation; model correction required before canonical approval."
CLM-0548,kin|P50|P220|aunt/uncle↔niece/nephew,kin,P50,P220,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin (aunt/uncle↔niece/nephew) relation modeled between Ibrahim and Ahmad Manikufa'anu Kalaminja.,Inference dossier + contradiction note in docs/research-program/inferences/kin-p220-p50-aunt-uncle-niece-nephew.md; manual batch-H adjudication.,2026-02-08,approved,deferred,manual-verification-batch-h,2026-02-19,"Manual verification batch H (2026-02-19): deferred. Current aunt/uncle inference depends on sibling premise P50<->P51 from CLM-0439, which conflicts with canonical parentage chain P47->P50 (CLM-0601) plus P47<->P51 half-brothers (CLM-0639). Pair is more consistent with cousin-line relation; model correction required before canonical approval."
