claim_id,edge_key,relation_type,source_id,target_id,label,confidence,claim_type,confidence_grade,evidence_refs,primary_source_id,claim_excerpt,citation_locator,access_date,review_status,canonical_decision,reviewer,last_reviewed,notes
CLM-0004,kin|P100|P98|grandparent,kin,P100,P98,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P100 Mohamed Faamuladeyri Thakurufan and P98 Dom Maraduru Fandiaiy Thakurufan from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p100-p98-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p100-p98-grandparent.md.
CLM-0008,kin|P104|P61|regnal contest context,kin,P104,P61,regnal contest context,c,direct,B,SRC-MRF-UTHEEM|SRC-WIKI-MONARCHS,SRC-MRF-UTHEEM,Utheem Dynasty dynastic context links P104 Mohamed Thakurufaanu al-Auzam and P61 Hassan IX / Dom Manoel in kin relation (regnal contest context).,"SRC-MRF-UTHEEM r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_utheem.shtml), dynasty/lineage entry context for P104 Mohamed Thakurufaanu al-Auzam and P61 Hassan IX / Dom Manoel (kin (regnal contest context)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0009,kin|P104|P66|co-regency framework,kin,P104,P66,co-regency framework,c,direct,B,SRC-MRF-UTHEEM|SRC-WIKI-MONARCHS,SRC-MRF-UTHEEM,Utheem Dynasty dynastic context links P104 Mohamed Thakurufaanu al-Auzam and P66 Joao’ in kin relation (co-regency framework).,"SRC-MRF-UTHEEM r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_utheem.shtml), dynasty/lineage entry context for P104 Mohamed Thakurufaanu al-Auzam and P66 Joao’ (kin (co-regency framework)) in 2026-02-08 snapshot.",2026-02-08,approved,approved,phase5-promo-b,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete. Promotion Batch B approved 2026-02-08; remaining direct A/B claim.
CLM-0023,kin|P114|P136|grandparent,kin,P114,P136,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P114 and P136 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0024,kin|P115|P137|grandparent,kin,P115,P137,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P115 and P137 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0032,kin|P117|P138|grandparent,kin,P117,P138,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P117 Nayaage Aishath Didi and P138 Dhadimagu Ganduvaru Maryam Didi from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p117-p138-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p117-p138-grandparent.md.
CLM-0038,kin|P119|P135|grandparent,kin,P119,P135,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P119 Maumoon Abdul Gayoom and P135 Galolhu Sitti from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p119-p135-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p119-p135-grandparent.md.
CLM-0039,kin|P120|P134|grandparent,kin,P120,P134,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P120 Abdul Gayoom Ibrahim and P134 Galolhu Seedhi from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p120-p134-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p120-p134-grandparent.md.
CLM-0044,kin|P121|P135|grandparent,kin,P121,P135,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P121 Abdulla Yameen Abdul Gayoom and P135 Galolhu Sitti from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p121-p135-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p121-p135-grandparent.md.
CLM-0050,kin|P125|P127|grandparent,kin,P125,P127,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P125 Meera Laila Nasheed and P127 Abdul Sattar Umar from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p125-p127-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p125-p127-grandparent.md.
CLM-0051,kin|P125|P128|grandparent,kin,P125,P128,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P125 Meera Laila Nasheed and P128 Abida Mohamed from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p125-p128-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p125-p128-grandparent.md.
CLM-0052,kin|P126|P127|grandparent,kin,P126,P127,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P126 Zaya Laila Nasheed and P127 Abdul Sattar Umar from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p126-p127-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p126-p127-grandparent.md.
CLM-0053,kin|P126|P128|grandparent,kin,P126,P128,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P126 Zaya Laila Nasheed and P128 Abida Mohamed from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p126-p128-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p126-p128-grandparent.md.
CLM-0054,kin|P129|P155|aunt/uncle↔niece/nephew,kin,P129,P155,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P129 Princess Veyogey Dhon Goma and P155 Maandhoogey Bodu Dhorhy Manippulu from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p129-p155-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p129-p155-aunt-uncle-niece-nephew.md.
CLM-0055,kin|P129|P86|grandparent,kin,P129,P86,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P129 Princess Veyogey Dhon Goma and P86 Mohamed Imaduddine (Kula Sudha Ira Siyaaaka) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p129-p86-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p129-p86-grandparent.md.
CLM-0060,kin|P13|P5|aunt/uncle↔niece/nephew,kin,P13,P5,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P13 Audha (Areedha Suvara) and P5 Dhinei (Fennaadheeththa) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p13-p5-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p13-p5-aunt-uncle-niece-nephew.md.
CLM-0061,kin|P13|P6|aunt/uncle↔niece/nephew,kin,P13,P6,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P13 Audha (Areedha Suvara) and P6 Dhilhel (Dhagathaa Abarana) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p13-p6-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p13-p6-aunt-uncle-niece-nephew.md.
CLM-0062,kin|P13|P8|aunt/uncle↔niece/nephew,kin,P13,P8,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P13 Audha (Areedha Suvara) and P8 Valla Dio (Raa-Araa Desyara) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p13-p8-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p13-p8-aunt-uncle-niece-nephew.md.
CLM-0066,kin|P130|P78|grandparent,kin,P130,P78,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P130 Prince Ibrahim Faamuladheyri Kilegefaanu and P78 Ibrahim Iskander (Rannava Loka) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p130-p78-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p130-p78-grandparent.md.
