edge_key,relation_type,source_id,target_id,label,inference_class,inference_rule,confidence_grade,evidence_refs,dossier_status,dossier_file,last_updated,notes
kin|P100|P98|grandparent,kin,P100,P98,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p100-p98-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P114|P136|grandparent,kin,P114,P136,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p114-p136-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P115|P137|grandparent,kin,P115,P137,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p115-p137-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P117|P138|grandparent,kin,P117,P138,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p117-p138-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P119|P135|grandparent,kin,P119,P135,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p119-p135-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P120|P134|grandparent,kin,P120,P134,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p120-p134-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P121|P135|grandparent,kin,P121,P135,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p121-p135-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P125|P127|grandparent,kin,P125,P127,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p125-p127-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P125|P128|grandparent,kin,P125,P128,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p125-p128-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P126|P127|grandparent,kin,P126,P127,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p126-p127-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P126|P128|grandparent,kin,P126,P128,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p126-p128-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P129|P155|aunt/uncle↔niece/nephew,kin,P129,P155,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p129-p155-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P129|P86|grandparent,kin,P129,P86,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p129-p86-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P13|P5|aunt/uncle↔niece/nephew,kin,P13,P5,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p13-p5-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P13|P6|aunt/uncle↔niece/nephew,kin,P13,P6,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p13-p6-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P13|P8|aunt/uncle↔niece/nephew,kin,P13,P8,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p13-p8-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P130|P78|grandparent,kin,P130,P78,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p130-p78-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P131|P81|grandparent,kin,P131,P81,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p131-p81-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P132|P182|reported Addu/Meedhoo branch continuity,kin,P132,P182,reported Addu/Meedhoo branch continuity,curated,,C,SRC-MRF-MIDU-ROYAL|SRC-WIKI-ABDUL-GAYOOM-IBRAHIM,in_progress,docs/research-program/inferences/kin-p132-p182-reported-addu-meedhoo-branch-continuity.md,2026-02-08,"Phase 2 curated dossier hardening: pair-specific support chains, claim IDs, and verification criteria added."
kin|P137|P139|grandparent,kin,P137,P139,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p137-p139-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P138|P140|grandparent,kin,P138,P140,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p138-p140-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P139|P180|aunt/uncle↔niece/nephew,kin,P139,P180,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p139-p180-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P14|P7|grandparent,kin,P14,P7,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p14-p7-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P140|P81|grandparent,kin,P140,P81,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p140-p81-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P15|P7|grandparent,kin,P15,P7,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p15-p7-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P150|P198|aunt/uncle↔niece/nephew,kin,P150,P198,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p150-p198-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P150|P199|aunt/uncle↔niece/nephew,kin,P150,P199,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p150-p199-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P151|P198|aunt/uncle↔niece/nephew,kin,P151,P198,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p151-p198-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P151|P199|aunt/uncle↔niece/nephew,kin,P151,P199,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p151-p199-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
