concept_id,canonical_label,category,period_scope,linked_people_count,linked_sources_count,status,entry_file,last_updated,notes
CONCEPT-001,Dynastic succession logic,system,"Early Lunar through Hilaaly/Huraagey transitions, including episodes of split claims and restoration.",8,4,in_progress,docs/research-program/concepts/CONCEPT-001.md,2026-02-08,Quality refresh pass completed for concept entry.
CONCEPT-002,Furadaana,office/institution,Documented from early-modern observer accounts through late-monarchy office descriptions.,5,4,in_progress,docs/research-program/concepts/CONCEPT-002.md,2026-02-08,Quality refresh pass completed for concept entry.
CONCEPT-003,Kilege,office/title,Appears in monarchical elite naming and office semantics; especially important in transition-era family clusters.,5,4,in_progress,docs/research-program/concepts/CONCEPT-003.md,2026-02-08,Quality refresh pass completed for concept entry.
CONCEPT-004,Didi,style/title,Late monarchy through republican political generations.,7,6,in_progress,docs/research-program/concepts/CONCEPT-004.md,2026-02-08,Quality refresh pass completed for concept entry.
CONCEPT-005,Islamization naming shifts,system/style,"Medieval onward, including regnal epithet conventions preserved in dynasty lists.",7,4,in_progress,docs/research-program/concepts/CONCEPT-005.md,2026-02-08,Quality refresh pass completed for concept entry.
CONCEPT-006,Portuguese-era Christian naming,system/style,Primarily sixteenth-seventeenth century through later historical transmission.,7,4,in_progress,docs/research-program/concepts/CONCEPT-006.md,2026-02-08,Quality refresh pass completed for concept entry.
CONCEPT-007,Naib (Naibu / Al-Naib),office/title,Documented in late monarchical administration and southern branch line records.,3,4,in_progress,docs/research-program/concepts/CONCEPT-007.md,2026-02-08,Quality refresh pass completed for concept entry.
CONCEPT-008,Deposition and restoration,political concept,"Cross-dynastic, with high concentration in turbulent transition corridors.",7,4,in_progress,docs/research-program/concepts/CONCEPT-008.md,2026-02-08,Quality refresh pass completed for concept entry.
CONCEPT-009,Sovereign style stack,system/style,"- **Pre-Islamic**: Buddhist-era royal styles (Maha Radun, Bavana-family epithets) associated with the Solar and Lunar dynasty traditions.",18,8,in_progress,docs/research-program/concepts/CONCEPT-009.md,2026-02-09,Batch F expansion: style-stack normalization across sovereign and republican office language.
CONCEPT-010,Fandiyaaru (Chief Judge),office/institution,"- **Ibn Battuta era (c. 1340s)**: Attested as a structured judicial office within the court cabinet, distinct from the ministerial Furadaana. Ibn Battuta himself served as qadi of the Maldives during his 1343-1345 sojourn.",4,5,in_progress,docs/research-program/concepts/CONCEPT-010.md,2026-02-09,Batch F expansion: judicial-office semantics and genealogy-separation rules.
CONCEPT-011,Bandaarain cluster,style/title,"- **Office origin**: The Bandeyri office (OFF-BANDEYRI) is documented in the Furadaana council from at least the early 17th century (Pyrard account), with functions relating to the royal household, palace personnel, and state administration.",7,7,in_progress,docs/research-program/concepts/CONCEPT-011.md,2026-02-09,Batch F expansion: Bandaarain/Bandaara/Manikfan style-office disambiguation.
CONCEPT-012,Thakurufaanu honorific complex,style/title,"- **Pre-Utheemu usage**: The Thakurufaanu form may have pre-Islamic roots as a noble/chieftain designation, possibly from South Indian or Sinhalese contact terminology.",8,6,in_progress,docs/research-program/concepts/CONCEPT-012.md,2026-02-09,Batch F expansion: Thakurufaanu token semantics and branch-context handling.
