edge_key,relation_type,source_id,target_id,label,inference_class,inference_rule,confidence_grade,evidence_refs,dossier_status,dossier_file,last_updated,notes
kin|P222|P129|aunt/uncle↔niece/nephew,kin,P222,P129,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p129-p222-aunt-uncle-niece-nephew.md,2026-02-19,Manual verification batch N (2026-02-19): deferred pending edge-basis reconciliation; support chain unresolved in dossier.
kin|P86|P129|grandparent,kin,P86,P129,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,approved,docs/research-program/inferences/kin-p129-p86-grandparent.md,2026-02-19,Manual verification batch J (2026-02-19): dossier chain manually validated pair-by-pair against approved support claims; accepted.
kin|P129|P88|cousins,kin,P129,P88,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,approved,docs/research-program/inferences/kin-p129-p88-cousins.md,2026-02-19,Manual verification batch J (2026-02-19): dossier chain manually validated pair-by-pair against approved support claims; accepted.
kin|P129|P92|cousins,kin,P129,P92,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,approved,docs/research-program/inferences/kin-p129-p92-cousins.md,2026-02-19,Manual verification batch J (2026-02-19): dossier chain manually validated pair-by-pair against approved support claims; accepted.
kin|P87|P190|grandparent,kin,P87,P190,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,approved,docs/research-program/inferences/kin-p190-p87-grandparent.md,2026-02-19,Manual verification batch K (2026-02-19): dossier chain manually validated pair-by-pair against approved support claims; accepted.
kin|P90|P190|aunt/uncle↔niece/nephew,kin,P90,P190,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,approved,docs/research-program/inferences/kin-p190-p90-aunt-uncle-niece-nephew.md,2026-02-19,Manual verification batch K (2026-02-19): dossier chain manually validated pair-by-pair against approved support claims; accepted.
kin|P87|P191|grandparent,kin,P87,P191,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,approved,docs/research-program/inferences/kin-p191-p87-grandparent.md,2026-02-19,Manual verification batch K (2026-02-19): dossier chain manually validated pair-by-pair against approved support claims; accepted.
kin|P90|P191|aunt/uncle↔niece/nephew,kin,P90,P191,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,approved,docs/research-program/inferences/kin-p191-p90-aunt-uncle-niece-nephew.md,2026-02-19,Manual verification batch K (2026-02-19): dossier chain manually validated pair-by-pair against approved support claims; accepted.
kin|P50|P208|aunt/uncle↔niece/nephew,kin,P50,P208,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p208-p50-aunt-uncle-niece-nephew.md,2026-02-19,Manual verification batch H (2026-02-19): deferred. Dossier chain currently relies on sibling premise P50<->P51; conflicts with canonical P47->P50 and P47<->P51 half-brother path. Recast edge class before approval.
kin|P50|P219|aunt/uncle↔niece/nephew,kin,P50,P219,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p219-p50-aunt-uncle-niece-nephew.md,2026-02-19,Manual verification batch H (2026-02-19): deferred. Dossier chain currently relies on sibling premise P50<->P51; conflicts with canonical P47->P50 and P47<->P51 half-brother path. Recast edge class before approval.
kin|P50|P220|aunt/uncle↔niece/nephew,kin,P50,P220,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p220-p50-aunt-uncle-niece-nephew.md,2026-02-19,Manual verification batch H (2026-02-19): deferred. Dossier chain currently relies on sibling premise P50<->P51; conflicts with canonical P47->P50 and P47<->P51 half-brother path. Recast edge class before approval.
kin|P50|P55|aunt/uncle↔niece/nephew,kin,P50,P55,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p50-p55-aunt-uncle-niece-nephew.md,2026-02-19,Manual verification batch L (2026-02-19): deferred pending edge-class correction to cousin-line based on canonical P47->P50 and sibling generation mapping.
kin|P50|P59|aunt/uncle↔niece/nephew,kin,P50,P59,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p50-p59-aunt-uncle-niece-nephew.md,2026-02-19,Manual verification batch L (2026-02-19): deferred pending edge-class correction to cousin-line based on canonical P47->P50 and sibling generation mapping.
kin|P90|P95|aunt/uncle↔niece/nephew,kin,P90,P95,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,approved,docs/research-program/inferences/kin-p90-p95-aunt-uncle-niece-nephew.md,2026-02-19,Manual verification batch L (2026-02-19): dossier chain manually validated pair-by-pair against approved support claims; accepted.
parent|P87|P129|,parent,P87,P129,,curated,,B,SRC-MRF-KINGS,in_progress,docs/research-program/inferences/parent-p87-p129.md,2026-02-19,Manual verification batch L (2026-02-19): deferred pending independent corroboration/parentage closure for P87->P129 chain.
sibling|P90|P129|siblings (shared parent),sibling,P90,P129,siblings (shared parent),rule-derived,shared-parent-sibling,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/sibling-p129-p90-siblings-shared-parent.md,2026-02-19,Manual verification batch L (2026-02-19): deferred pending independent corroboration/parentage closure for P87->P129 chain.
sibling|P47|P50|brothers,sibling,P47,P50,brothers,curated,,C,SRC-MRF-KINGS,in_progress,docs/research-program/inferences/sibling-p47-p50-brothers.md,2026-02-19,Manual verification batch M (2026-02-19): deferred pending sibling-to-parent/uncle-cousin class correction around P50 generation mapping.
sibling|P50|P51|brothers,sibling,P50,P51,brothers,curated,,C,SRC-MRF-KINGS,in_progress,docs/research-program/inferences/sibling-p50-p51-brothers.md,2026-02-19,Manual verification batch M (2026-02-19): deferred pending sibling-to-parent/uncle-cousin class correction around P50 generation mapping.
sibling|P50|P52|brothers,sibling,P50,P52,brothers,curated,,C,SRC-MRF-KINGS,in_progress,docs/research-program/inferences/sibling-p50-p52-brothers.md,2026-02-19,Manual verification batch M (2026-02-19): deferred pending sibling-to-parent/uncle-cousin class correction around P50 generation mapping.
